point_id,longitude,latitude,depth,log_clay_sand,log_silt_sand
ctb0003-sm-dnos-001,-53.794645,-29.651271,10,-3.13549421592915,-3.13549421592915
ctb0003-sm-dnos-002,-53.793987,-29.650564,10,-2.00148000021012,-1.53147637096439
ctb0003-sm-dnos-003,-53.793993,-29.650232,10,-2.01490302054226,-1.6094379124341
ctb0003-sm-dnos-004,-53.794345,-29.650311,10,-2.32727770558442,-2.10413415427021
ctb0003-sm-dnos-005,-53.792947,-29.650838,10,-1.91692261218206,-1.12846525181779
ctb0003-sm-dnos-006,-53.793499,-29.649951,10,-1.21639532432449,-0.587786664902119
ctb0003-sm-dnos-007,-53.793272,-29.649962,10,-1.05860695405441,-0.365459773494465
ctb0003-sm-dnos-008,-53.793633,-29.648468,10,-2.06686275947298,-1.97155257966865
ctb0003-sm-dnos-009,-53.793707,-29.647836,10,-2.496741107435,-2.36320971481048
ctb0003-sm-dnos-010,-53.793019,-29.64797,10,-2.1722232751308,-1.88454120267902
ctb0003-sm-dnos-011,-53.792816,-29.64804,10,-2.47293045874129,-2.11625551480255
ctb0003-sm-dnos-012,-53.79206,-29.64927,10,-1.74523945359316,-0.885038188370051
ctb0003-sm-dnos-013,-53.79184,-29.648724,10,-2.19722457733622,-1.28093384546206
ctb0003-sm-dnos-014,-53.792442,-29.648539,10,-1.77777322725332,-1.4294665329851
ctb0003-sm-dnos-015,-53.792655,-29.648548,10,-1.6376087894008,-1.6376087894008
ctb0003-sm-dnos-016,-53.792509,-29.647109,10,-1.95881355389122,-1.95881355389122
ctb0003-sm-dnos-017,-53.79256,-29.646736,10,-2.12026353620009,-1.54489939129653
ctb0003-sm-dnos-018,-53.792256,-29.646199,10,-3.13549421592915,-3.13549421592915
ctb0003-sm-dnos-019,-53.792114,-29.645725,10,-2.33939906611676,-2.22161603046038
ctb0003-sm-dnos-020,-53.791419,-29.646682,10,-2.3150076129926,-1.99655388187407
ctb0003-sm-dnos-021,-53.793887,-29.652717,10,-1.75785791755237,-0.594707107746693
ctb0003-sm-dnos-022,-53.790043,-29.648311,10,-2.30258509299405,-1.89711998488588
ctb0003-sm-dnos-023,-53.78955,-29.648663,10,-2.484906649788,-2.23359222150709
ctb0003-sm-dnos-024,-53.788403,-29.649114,10,-3.12456514539696,-2.90142159408275
ctb0003-sm-dnos-025,-53.786795,-29.650051,10,-2.89037175789617,-2.89037175789617
ctb0003-sm-dnos-026,-53.786729,-29.650198,10,-2.68557734525015,-2.68557734525015
ctb0003-sm-dnos-027,-53.786439,-29.647667,10,-1.68948062010764,-1.03889305396649
ctb0003-sm-dnos-028,-53.786838,-29.647463,10,-2.89037175789617,-2.89037175789617
ctb0003-sm-dnos-029,-53.785726,-29.646196,10,-3.11351530921037,-2.70805020110221
